DIA,MES,ANNO,HR,TEMP
9,11,2018,117.83,31.95
9,11,2018,117.78,31.95
9,11,2018,117.72,31.95
9,11,2018,117.63,31.97
9,11,2018,117.52,31.97
9,11,2018,117.4,31.97
9,11,2018,117.27,31.97
9,11,2018,117.12,31.95
9,11,2018,116.97,31.95
9,11,2018,116.83,31.95
9,11,2018,116.67,31.95
9,11,2018,116.53,31.97
9,11,2018,116.42,31.97
9,11,2018,116.27,31.97
9,11,2018,116.12,31.97
9,11,2018,116,31.99
9,11,2018,115.85,31.99
9,11,2018,115.65,31.99
9,11,2018,115.43,31.99
9,11,2018,115.23,31.97
9,11,2018,114.97,31.97
9,11,2018,114.73,31.97
9,11,2018,114.57,31.97
9,11,2018,114.4,31.97
9,11,2018,114.3,31.97
9,11,2018,114.2,31.97
9,11,2018,114.1,31.97
9,11,2018,114.05,31.99
9,11,2018,114.05,31.99
9,11,2018,114.02,31.99
9,11,2018,113.93,31.99
9,11,2018,113.82,31.99
9,11,2018,113.65,31.99
9,11,2018,113.12,31.99
9,11,2018,112.55,31.99
9,11,2018,111.92,31.97
